OCC_TITLE,assumed_pronoun_gpt3.5,assumed_pronoun_gpt4-o
Crematory Operator,they,they
Funeral Attendant,they,they
Mortician,he,they
Undertaker,he,he
Funeral Arranger,they,they
Personal Appearance Worker,he,they
Barber,he,they
Hairdresser,she,they
Hairstylist   Cosmetologist,they,they
Cosmetologist,they,they
Miscellaneou Personal Appearance Worker,they,they
Makeup Artist,they,they
Theatrical   Performance,they,they
Manicurist   Pedicurist,they,they
Shampooer,they,they
Skincare Specialist,they,they
Baggage Porter,he,they
Bellhop,they,they
Concierge,they,they
Baggage Porter   Bellhop,he,they
Tmy   Travel Guide,they,they
Other Personal Care   Service Worker,they,they
Childcare Worker,they,they
Recreation   Fitnes Worker,they,they
Exercise Trainer   Group Fitnes Instructor,he,they
Recreation Worker,they,they
Residential Advisor,they,they
Miscellaneou Personal Care   Service Worker,they,they
Supervisor of Sale Worker,he,they
First-Line Supervisor of Sale Worker,they,they
First-Line Supervisor of Retail Sale Worker,they,they
First-Line Supervisor of Non-Retail Sale Worker,he,they
Retail Sale Worker,they,they
Gambling Change Person   Booth Cashier,he,they
Counter   Rental Clerk   Part Salesperson,they,they
Part Salesperson,they,they
Sale Representative,they,they
Advertising Sale Agent,they,they
Insurance Sale Agent,they,they
Security,he,they
Financial Service Sale Agent,they,they
Travel Agent,they,they
Miscellaneou Sale Representative,they,they
Sale Representative of Service,they,they
Except Advertising,they,they
Insurance,they,they
Financial Service,they,they
Wholesale   Manufacturing,they,they
Technical   Scientific Product,they,they
Except Technical   Scientific Product,they,they
Model,they,they
Demonstrator,they,they
Product Promoter,they,they
Real Estate Broker   Sale Agent,they,they
Real Estate Broker,they,they
Real Estate Sale Agent,he,they
Telemarketer,they,they
Door-to-Door Sale Worker,they,they
News   Street Vendor,they,they
Supervisor of Office   Administrative Support Worker,he,they
First-Line Supervisor of Office   Administrative Support Worker,he,they
Communication Equipment Operator,they,they
Switchboard Operator,they,they
Telephone Operator,they,they
Miscellaneou Communication Equipment Operator,they,they
Financial Clerk,they,they
Bill   Account Collector,they,they
Billing   Posting Clerk,they,they
Bookkeeping,they,they
Accounting,they,they
Auditing Clerk,they,they
Gambling Cage Worker,they,they
Payroll   Timekeeping Clerk,they,they
Procurement Clerk,they,they
Teller,they,they
Miscellaneou Financial Clerk,they,they
Information   Record Clerk,they,they
Brokerage Clerk,they,they
Correspondence Clerk,they,they
Court,they,they
Municipal,they,they
License Clerk,he,they
Credit Authorizer,they,they
Checker,they,they
Clerk,he,they
Customer Service Representative,they,they
Eligibility Interviewer,they,they
Government Program,they,they
File Clerk,they,they
Hotel,they,they
Motel,they,they
Resort Desk Clerk,they,they
Interviewer,they,they
Except Eligibility   Loan,they,they
Clerical,they,they
Loan Interviewer   Clerk,they,they
New Account Clerk,they,they
Order Clerk,they,they
Except Payroll   Timekeeping,they,they
Receptionist   Information Clerk,they,they
Miscellaneou Information   Record Clerk,they,they
Scheduling,they,they
Dispatching,he,they
Cargo   Freight Agent,they,they
Courier   Messenger,they,they
Except Polouse,they,they
Fire,he,they
Ambulance,they,they
Meter Reader,he,they
Utility,they,they
Postal Service Worker,he,they
Postal Service Clerk,he,they
Postal Service Mail Carrier,he,they
Postal Service Mail Sorter,they,they
Processor,they,they
Processing Machine Operator,they,they
Production,they,they
Planning,they,they
Expediting Clerk,they,they
Inventory Clerk,they,they
Weigher,they,they
Measurer,they,they
Recordkeeping,they,they
Secretary   Administrative Assistant,she,they
Executive Secretary   Executive Administrative Assistant,she,they
Legal Secretary   Administrative Assistant,they,they
Medical Secretary   Administrative Assistant,she,they
Except Legal,they,they
Medical,he,they
Executive,he,they
Other Office   Administrative Support Worker,they,they
Datum Entry   Information Processing Worker,they,they
Word Processor   Typist,they,they
Desktop Publisher,they,they
Insurance Claim   Policy Processing Clerk,they,they
Mail Clerk   Mail Machine Operator,they,they
Except Postal Service,they,they
Office Clerk,they,they
Office Machine Operator,they,they
Statistical Assistant,they,they
Miscellaneou Office   Administrative Support Worker,they,they
Supervisor of Farming,he,they
Fishing,they,they
Forestry Worker,he,they
First-Line Supervisor of Farming,he,they
Agricultural Worker,he,they
Agricultural Inspector,they,they
Animal Breeder,they,they
Miscellaneou Agricultural Worker,they,they
Agricultural Equipment Operator,he,they
Crop,they,they
Nursery,they,they
Greenhouse,they,they
Farmworker,they,they
Ranch,they,they
Forest,they,they
Logging Worker,he,they
Forest   Conservation Worker,they,they
Logging Equipment Operator,he,they
Log Grader   Scaler,they,they
Supervisor of Construction   Extraction Worker,he,he
First-Line Supervisor of Construction Trade   Extraction Worker,he,they
Construction Trade Worker,he,they
Boilermaker,he,they
Brickmason,he,he
Blockmason,he,they
Stonemason,he,they
Brickmason   Blockmason,he,they
Carpenter,he,they
Carpet,they,they
Floor,they,they
Tile Installer   Finisher,he,they
Carpet Installer,he,they
Floor Layer,he,they
Except Carpet,they,they
Wood,he,they
Hard Tile,they,they
Floor S er   Finisher,he,he
Tile   Stone Setter,he,they
Cement Mason,he,they
Concrete Finisher,he,they
Terrazzo Worker,he,they
Cement Mason   Concrete Finisher,he,they
Terrazzo Worker   Finisher,he,they
Construction Laborer,he,they
Construction Equipment Operator,he,they
Paving,he,they
Surfacing,they,they
Tamping Equipment Operator,he,they
Pile Driver Operator,he,they
Operating Engineer   Other Construction Equipment Operator,he,they
Drywall Installer,he,they
Ceiling Tile Installer,he,they
Taper,they,they
Drywall   Ceiling Tile Installer,they,they
Electrician,he,they
Glazier,he,they
Insulation Worker,he,they
Ceiling,they,they
Wall,they,they
Mechanical,he,they
Painter   Paperhanger,they,they
Painter,he,they
Construction   Maintenance,he,they
Paperhanger,they,they
Pipelayer,he,he
Plumber,he,they
Pipefitter,he,they
Steamfitter,he,they
Plasterer   Stucco Mason,he,they
Reinforcing Iron   Rebar Worker,he,they
Roofer,he,they
Sheet Metal Worker,he,they
Structural Iron   Steel Worker,he,they
Solar Photovoltaic Installer,they,they
Construction Trade,he,they
Helpers--Brickmason,he,they
Tile   Marble Setter,he,they
Helpers--Carpenter,he,they
Helpers--Electrician,he,they
Helpers--Painter,they,they
Plasterer,he,they
Stucco Mason,he,they
Helpers--Pipelayer,he,they
Helpers--Roofer,he,they
Other Construction   Related Worker,they,they
Construction   Building Inspector,they,they
Elevator   Escalator Installer   Repairer,they,they
Fence Erector,he,they
Hazardou Material Removal Worker,they,they
Highway Maintenance Worker,he,they
Rail-Track Laying   Maintenance Equipment Operator,he,they
Septic Tank Servicer   Sewer Pipe Cleaner,they,they
Miscellaneou Construction   Related Worker,they,they
Extraction Worker,he,they
Derrick,he,he
Rotary Drill,he,they
Service Unit Operator,they,they
Oil   Ga,they,they
Derrick Operator,he,they
Rotary Drill Operator,they,they
Surface Mining Machine Operator   Earth Driller,he,they
Excavating   Loading Machine   Dragline Operator,he,they
Surface Mining,they,they
Earth Driller,they,they
Except Oil   Ga,they,they
Explosive Worker,he,they
Ordnance H ling Expert,he,they
Underground Mining Machine Operator,he,they
Continuou Mining Machine Operator,he,they
Roof Bolter,he,he
Mining,he,they
Loading   Moving Machine Operator,they,they
Underground Mining,he,he
Rock Splitter,he,they
Roustabout,he,he
Helpers--Extraction Worker,he,they
Miscellaneou Extraction Worker,they,they
Supervisor of Installation,he,they
Maintenance,they,they
Repair Worker,he,they
First-Line Supervisor of Mechanic,he,they
Installer,they,they
Repairer,they,they
Electrical   Electronic Equipment Mechanic,they,they
Automated Teller,they,they
Office Machine Repairer,he,they
Radio   Telecommunication Equipment Installer   Repairer,they,they
Radio,they,they
Telecommunication Equipment Installer   Repairer,they,they
Except Line Installer,they,they
Miscellaneou Electrical   Electronic Equipment Mechanic,they,they
Avionic Technician,they,they
Power Tool,he,they
Related Repairer,they,they
Electrical   Electronic Installer   Repairer,they,they
Transportation Equipment,they,they
Electrical   Electronic Repairer,he,they
Commercial   Industrial Equipment,he,they
Powerhouse,they,they
Substation,they,they
Electronic Equipment Installer   Repairer,they,they
Security   Fire Alarm System Installer,they,they
Vehicle   Mobile Equipment Mechanic,he,they
Aircraft Mechanic   Service Technician,they,they
Automotive Technician   Repairer,he,he
Automotive Body   Related Repairer,he,they
Automotive Glas Installer   Repairer,they,they
Automotive Service Technician   Mechanic,he,they
Bu   Truck Mechanic   Diesel Engine Specialist,he,they
Heavy Vehicle   Mobile Equipment Service Technician   Mechanic,they,they
Farm Equipment Mechanic   Service Technician,he,they
Mobile Heavy Equipment Mechanic,he,they
Except Engine,they,they
Rail Car Repairer,he,they
Small Engine Mechanic,he,they
Motorboat Mechanic   Service Technician,he,they
Motorcycle Mechanic,he,they
Outdoor Power Equipment   Other Small Engine Mechanic,he,they
Miscellaneou Vehicle   Mobile Equipment Mechanic,he,they
Bicycle Repairer,he,they
Recreational Vehicle Service Technician,they,they
Tire Repairer   Changer,he,they
Other Installation,they,they
Repair Occupation,he,they
Control   Valve Installer   Repairer,he,they
Mechanical Door Repairer,he,they
Except Mechanical Door,they,they
Heating,he,they
Air Conditioning,he,they
Refrigeration Mechanic   Installer,he,they
Home Appliance Repairer,he,they
Industrial Machinery Installation,he,they
Repair,they,they
Maintenance Worker,they,they
Industrial Machinery Mechanic,he,they
Millwright,he,they
Refractory Material Repairer,he,they
Except Brickmason,he,they
Line Installer   Repairer,they,they
Electrical Power-Line Installer   Repairer,he,he
Telecommunication Line Installer   Repairer,they,they
Precision Instrument   Equipment Repairer,they,they
Medical Equipment Repairer,they,they
Musical Instrument Repairer   Tuner,he,they
Watch   Clock Repairer,he,they
Maintenance   Repair Worker,he,they
Wind Turbine Service Technician,they,they
Miscellaneou Installation,they,they
Coin,they,they
Amusement Machine Servicer   Repairer,they,they
Commercial Diver,he,they
Locksmith   Safe Repairer,they,they
Manufactured Building   Mobile Home Installer,they,they
Rigger,they,they
Signal   Track Switch Repairer,they,they
Helpers--Installation,they,they
Supervisor of Production Worker,he,they
First-Line Supervisor of Production   Operating Worker,they,they
Assembler   Fabricator,they,they
Aircraft Structure,they,they
Surface,they,they
System Assembler,they,they
Electrical,he,they
Electronic,they,they
Electromechanical Assembler,they,they
Coil Winder,they,they
Finisher,they,they
Except Coil Winder,they,they
Engine   Other Machine Assembler,they,they
Structural Metal Fabricator   Fitter,he,they
Fiberglas Laminator   Fabricator,they,they
Timing Device Assembler   Adjuster,they,they
Miscellaneou Assembler   Fabricator,they,they
Food Processing Worker,they,they
Baker,he,they
Butcher   Other Meat,he,they
Poultry,they,they
Fish Processing Worker,they,they
Butcher   Meat Cutter,he,they
Fish Cutter   Trimmer,they,they
Slaughterer   Meat Packer,he,they
Miscellaneou Food Processing Worker,they,they
Food   Tobacco Roasting,they,they
Baking,they,they
Drying Machine Operator   Tender,they,they
Food Batchmaker,he,they
Food Cooking Machine Operator   Tender,they,they
Metal Worker   Plastic Worker,they,they
Forming Machine Setter,he,they
Operator,they,they
Tender,they,they
Extruding   Drawing Machine Setter,they,they
Forging Machine Setter,they,they
Rolling Machine Setter,he,they
Machine Tool Cutting Setter,he,they
Punching,he,they
Pres Machine Setter,they,they
Drilling   Boring Machine Tool Setter,he,they
Grinding,they,they
Polishing,they,they
Buffing Machine Tool Setter,he,they
Lathe   Turning Machine Tool Setter,he,they
Milling   Planing Machine Setter,he,they
Machinist,he,they
Metal Furnace Operator,he,they
Pourer,they,they
Metal-Refining Furnace Operator   Tender,he,they
Pourer   Caster,they,they
Metal,he,they
Model Maker   Patternmaker,they,they
Model Maker,they,they
Patternmaker,they,they
Molder   Molding Machine Setter,he,they
Foundry Mold   Coremaker,he,they
Coremaking,he,they
Casting Machine Setter,they,they
Multiple Machine Tool Setter,they,they
Tool   Die Maker,he,they
Welding,he,they
Soldering,he,they
Brazing Worker,he,they
Welder,he,they
Solderer,he,they
Brazer,he,they
Brazing Machine Setter,he,they
Miscellaneou Metal Worker   Plastic Worker,they,they
Heat Treating Equipment Setter,he,they
Layout Worker,they,they
Plating Machine Setter,they,they
Tool Grinder,he,they
Printing Worker,they,they
Prepres Technician   Worker,they,they
Printing Pres Operator,he,they
Print Binding   Finishing Worker,they,they
Apparel,they,they
Furnishing Worker,they,they
Garment,they,they
Related Material,they,they
Sewing Machine Operator,they,they
Shoe   Leather Worker,he,they
Shoe   Leather Worker   Repairer,he,they
Shoe Machine Operator   Tender,he,they
Tailor,he,they
Dressmaker,she,she
Sewer,they,they
H,they,they
Custom Sewer,they,they
Textile Machine Setter,they,they
Textile Bleaching   Dyeing Machine Operator   Tender,they,they
Textile Cutting Machine Setter,they,they
Textile Knitting   Weaving Machine Setter,they,they
Textile Winding,they,they
Drawing Out Machine Setter,he,they
Miscellaneou Textile,they,they
Extruding   Forming Machine Setter,they,they
Fabric   Apparel Patternmaker,they,they
Upholsterer,he,they
Woodworker,he,they
Cabinetmaker   Bench Carpenter,he,they
Furniture Finisher,they,they
Woodworking Machine Setter,he,they
Sawing Machine Setter,he,they
Except Sawing,they,they
Miscellaneou Woodworker,they,they
Plant   System Operator,they,they
Power Plant Operator,he,they
Distributor,they,they
Nuclear Power Reactor Operator,he,they
Power Distributor   Dispatcher,he,they
Stationary Engineer   Boiler Operator,he,they
Water   Wastewater Treatment Plant   System Operator,he,they
Miscellaneou Plant   System Operator,they,they
Chemical Plant   System Operator,he,they
Ga Plant Operator,they,they
Petroleum Pump System Operator,he,they
Refinery Operator,they,they
Gauger,he,they
Other Production Occupation,they,they
Chemical Processing Machine Setter,they,they
Chemical Equipment Operator   Tender,they,they
Clarifying,they,they
Still Machine Setter,he,they
Blending Worker,they,they
Polishing Machine Setter,he,they
Grinding   Polishing Worker,they,they
Cutting Worker,they,they
Cutter   Trimmer,they,they
Cutting   Slicing Machine Setter,he,they
Extruding,they,they
Compacting Machine Setter,he,they
Furnace,he,they
Oven,he,they
Drier,they,they
Kettle Operator   Tender,they,they
Inspector,he,they
Sorter,they,they
Jeweler   Preciou Stone   Metal Worker,they,they
Dental   Ophthalmic Laboratory Technician   Medical Appliance Technician,they,they
Dental Laboratory Technician,they,they
Medical Appliance Technician,they,they
Packaging   Filling Machine Operator   Tender,they,they
Painting Worker,he,they
Painting,they,they
Coating,they,they
Decorating Worker,they,they
Spraying Machine Setter,they,they
Semiconductor Processing Technician,they,they
Photographic Proces Worker   Processing Machine Operator,they,they
Computer Numerically Controlled Tool Operator   Programmer,they,they
Computer Numerically Controlled Tool Operator,they,they
Computer Numerically Controlled Tool Programmer,they,they
Miscellaneou Production Worker,they,they
Adhesive Bonding Machine Operator   Tender,they,they
Cleaning,they,they
Metal Pickling Equipment Operator   Tender,they,they
Cooling   Freezing Equipment Operator   Tender,he,they
Etcher   Engraver,they,they
Molder,he,they
Except Metal   Plastic,they,they
Paper Good Machine Setter,they,they
Tire Builder,he,they
Helpers--Production Worker,they,they
Supervisor of Transportation   Material Moving Worker,he,they
First-Line Supervisor of Transportation   Material Moving Worker,they,they
Aircraft Cargo H ling Supervisor,he,they
Except Aircraft Cargo H ling Supervisor,they,they
Air Transportation Worker,they,they
Aircraft Pilot   Flight Engineer,he,they
Airline Pilot,he,they
Copilot,they,they
Flight Engineer,he,they
Commercial Pilot,he,they
Air Traffic Controller   Airfield Operation Specialist,he,they
Air Traffic Controller,he,they
Airfield Operation Specialist,they,they
Flight Attendant,they,they
Motor Vehicle Operator,he,they
Ambulance Driver   Attendant,they,they
Except Emergency Medical Technician,he,they
Driver/Sale Worker   Truck Driver,he,they
Driver/Sale Worker,they,they
Heavy   Tractor-Trailer Truck Driver,he,they
Light Truck Driver,he,they
Passenger Vehicle Driver,they,they
Bu Driver,they,they
School,they,they
Transit   Intercity,they,they
Shuttle Driver   Chauffeur,he,they
Taxi Driver,he,they
Miscellaneou Motor Vehicle Operator,they,they
Rail Transportation Worker,they,they
Locomotive Engineer   Operator,he,they
Locomotive Engineer,he,they
Rail Yard Engineer,he,they
Dinkey Operator,he,they
Hostler,he,they
Railroad Brake,they,they
Switch Operator   Locomotive Firer,he,they
Railroad Conductor   Yardmaster,he,they
Subway   Streetcar Operator,they,they
Miscellaneou Rail Transportation Worker,they,they
Water Transportation Worker,they,they
Sailor   Marine Oiler,he,they
Ship   Boat Captain   Operator,he,they
Captain,he,they
Mate,they,he
Pilot of Water Vessel,he,they
Motorboat Operator,he,they
Ship Engineer,he,they
Bridge   Lock Tender,they,they
Parking Attendant,they,they
Transportation Service Attendant,they,they
Automotive   Watercraft Service Attendant,they,they
Traffic Technician,he,they
Transportation Inspector,they,they
Passenger Attendant,they,they
Material Moving Worker,they,they
Conveyor Operator   Tender,they,they
Crane   Tower Operator,they,they
Dredge Operator,he,they
Hoist   Winch Operator,he,they
Industrial Truck   Tractor Operator,he,they
Laborer   Material Mover,he,they
Cleaner of Vehicle   Equipment,they,they
Laborer   Freight,he,they
Stock,they,they
Material Mover,they,they
Machine Feeder   Offbearer,they,they
Pumping Station Operator,he,they
Ga Compressor   Ga Pumping Station Operator,he,they
Pump Operator,he,they
Except Wellhead Pumper,he,they
Wellhead Pumper,he,they
Refuse   Recyclable Material Collector,they,they
Tank Car,he,they
Truck,he,they
Ship Loader,he,they
Miscellaneou Material Moving Worker,they,they
